Status,#,Source Name,Full Name,URL,API URL,API Type,Country/Region,Has Qualitative Data,Files Downloadable,Auth for Search,Auth for Download,Licensing,Est. Qualitative Results,Notes
Implemented,14,UCLA Dataverse,UCLA Social Science Data Archive Dataverse,https://dataverse.ucla.edu,https://dataverse.ucla.edu/api/,Dataverse API,USA,Yes,Yes,None,Standard Dataverse,Varies,~34 (research),Low qualitative-specific yield; better results with broader queries
Implemented,15,DR-NTU (Singapore),DR-NTU (Data) — Nanyang Technological University,https://researchdata.ntu.edu.sg,https://researchdata.ntu.edu.sg/api/,Dataverse API,Singapore,Yes,Yes,None,Standard Dataverse,Varies,~15,Education and social science
Implemented,16,Göttingen Research Online,Göttingen Research Online Data,https://data.goettingen-research-online.de,https://data.goettingen-research-online.de/api/,Dataverse API,Germany,Yes,Yes,None,Standard Dataverse,CC0 common,~35,Includes interview transcripts; German-language metadata
Implemented,17,NIE Singapore,NIE Data Repository — National Institute of Education,https://researchdata.nie.edu.sg,https://researchdata.nie.edu.sg/api/,Dataverse API,Singapore,Yes,Yes,None,Standard Dataverse,CC BY-NC common,~35,Education research focus
Implemented,18,Figshare,Figshare,https://figshare.com,https://api.figshare.com/v2/,Custom REST API v2,International,Yes,Yes,None,None (direct S3 URLs),CC BY 4.0 (most common),Unknown,POST search + GET metadata; skips figures/media/code/posters/presentations; S3 redirect downloads
Implemented,19,OSF,Open Science Framework,https://osf.io,https://api.osf.io/v2/,REST API (JSON:API),International,Yes,Yes (inconsistent licenses),None,None for public,Inconsistent (many have none),Unknown,JSON:API format; skips registrations/preprints/forks/collections; 1s throttle (100 req/hr limit); SHA-256 checksums; contributors via embedded users endpoint
Implemented,20,FSD Finland,Finnish Social Science Data Archive (FSD),https://www.fsd.tuni.fi,https://services.fsd.tuni.fi/v0/oai,OAI-PMH,Finland,Yes,Partial (93 CC BY 4.0 datasets),None,None for 160+ datasets; registration for others,CC BY 4.0 (93 datasets),160+,OAI-PMH ListRecords with Dublin Core for search (local keyword matching); DDI 2.5 GetRecord for rich metadata; access level from restrctn field; resumptionToken pagination
Implemented,21,Internet Archive Oral History,Internet Archive — Oral History Collection,https://archive.org/details/OralHistory,https://archive.org/,Internet Archive API,International,Yes,Yes,None,None,Public domain / CC,Unknown,Advanced Search API with Lucene queries; metadata API per item; original files only (skip derivatives); MD5 checksums; 1s throttle with 429 backoff
Implemented,22,Library of Congress,Library of Congress — Digital Collections (Oral Histories),https://www.loc.gov/collections/?fa=subject:oral+histories,https://www.loc.gov/,JSON API,USA,Yes,Yes,None,None,Public domain (US govt),121000+ collections (not all digitized),JSON API with fo=json; 3.5s throttle (20 req/min limit; 1-hour IP block on exceed); resource shortcuts (pdf/audio/video/fulltext); filters for digitized items only
Skipped,23a,ADP Slovenia,Slovenian Social Science Data Archives,https://dataverse.adp.fdv.uni-lj.si,https://dataverse.adp.fdv.uni-lj.si/api/,Dataverse API,Slovenia,Yes,Yes,None,Standard Dataverse,All 'none' (unpopulated),~41,Skipped — all datasets lack license field; 0 downloads possible
Implemented,23b,e-cienciaDatos (Madrid),e-cienciaDatos (Consorcio Madroño),https://edatos.consorciomadrono.es,https://edatos.consorciomadrono.es/api/,Dataverse API,Spain,Yes,Yes,None,Standard Dataverse,CC BY common,~35,Zero new code; downloads working; CC BY items found; Spanish-language metadata
Skipped,23c,Peking University,Peking University Open Research Data,https://opendata.pku.edu.cn,https://opendata.pku.edu.cn/api/,Dataverse API,China,Yes,Yes (API unstable),None,Standard Dataverse,Varies,~41,Skipped — file download API returns HTTP 500; server-side instability
Skipped,23d,IZA Bonn,IZA — Institute of Labor Economics,https://dataverse.iza.org,https://dataverse.iza.org/api/,Dataverse API,Germany,Yes,Yes,None,Standard Dataverse,IIL-1.0 (most),~40,Skipped — most datasets use proprietary IIL-1.0 license or have no files
Implemented,23e,SciELO Data (Brazil),SciELO Data,https://data.scielo.org,https://data.scielo.org/api/,Dataverse API,Brazil,Yes,Yes,None,Standard Dataverse,CC common,~255 PT / ~17 EN,Zero new code; requires browser-style User-Agent (WAF); 22 files downloaded in 3-item test; much better with Portuguese queries
Skipped,24,QualidataNet,QualidataNet (KonsortSWD / RDC Qualiservice),https://www.qualidatanet.com,https://www.qualidatanet.com/es/qualidatanet/dataset/_search,Elasticsearch API,Germany,Yes,No (partner registration required),None,N/A (metadata-only portal),Varies by partner,~143,Skipped — metadata-only portal; no files downloadable
Skipped,25,Qualiservice,Qualiservice — Research Data Center for Qualitative Social Science Data,https://www.qualiservice.org,,Web scraper (planned),Germany,Yes,No (formal contract required),None,Formal contract/usage agreement,Qualiservice License,Unknown,Skipped — formal contract required
Skipped,26,QualiBi,QualiBi — Qualitative Data in Educational Research,,,None,Germany,Yes,No,N/A,N/A,All rights reserved,5 (via QualidataNet),No public portal; records on GUDE with all rights reserved
